PREGUNTA,A,B,C,D,E,F,RESPUESTA_CORRECTA
"Snowflake provides a mechanism for its customers to override its natural clustering algorithms. This method is:","A. Micro-partitions","B. Clustering keys Most Voted","C. Key partitions","D. Clustered partitions","","","B"
"Which of the following are valid Snowflake Virtual Warehouse Scaling Policies? (Choose two.)","A. Custom","B. Economy Most Voted","C. Optimized","D. Standard Most Voted","","","B,D"
"True or False: A single database can exist in more than one Snowflake account.","A. True","B. False Most Voted","","","","","B"
"Which of the following roles is recommended to be used to create and manage users and roles?","A. SYSADMIN","B. SECURITYADMIN Most Voted","C. PUBLIC","D. ACCOUNTADMIN","","","B"
"True or False: Bulk unloading of data from Snowflake supports the use of a SELECT statement.","A. True Most Voted","B. False","","","","","A"
"Select the different types of Internal Stages: (Choose three.)","A. Named Stage Most Voted","B. User Stage Most Voted","C. Table Stage Most Voted","D. Schema Stage","","","A,B,C"
"True or False: A customer using SnowSQL / native connectors will be unable to also use the Snowflake Web Interface (UI) unless access to the UI is explicitly granted by support.","A. True","B. False Most Voted","","","","","B"
"Account-level storage usage can be monitored via:","A. The Snowflake Web Interface (UI) in the Databases section","B. The Snowflake Web Interface (UI) in the Account -> Billing & Usage section Most Voted","C. The Information Schema -> ACCOUNT_USAGE_HISTORY View","D. The Account Usage Schema -> ACCOUNT_USAGE_METRICS View","","","B"
"Credit Consumption by the Compute Layer (Virtual Warehouses) is based on: (Choose two.)","A. Number of users","B. Warehouse size Most Voted","C. Amount of data processed","D. # of clusters for the Warehouse Most Voted","","","B,C"
"Which statement best describes `clustering`?","A. Clustering represents the way data is grouped together and stored within Snowflake's micro-partitions Most Voted","B. The database administrator must define the clustering methodology for each Snowflake table","C. The clustering key must be included on the COPY command when loading data into Snowflake","D. Clustering can be disabled within a Snowflake account","","","A"
"True or False: The COPY command must specify a File Format in order to execute.","A. True","B. False Most Voted","","","","","B"
"Which of the following commands sets the Virtual Warehouse for a session?","A. COPY WAREHOUSE FROM <<config file>>;","B. SET WAREHOUSE = <<warehouse name>>;","C. USE WAREHOUSE <<warehouse name>>; Most Voted","D. USE VIRTUAL_WAREHOUSE <<warehouse name>>;","","","C"
"Which of the following objects can be cloned? (Choose four.)","A. Tables Most Voted","B. Named File Formats Most Voted","C. Schemas Most Voted","D. Shares","E. Databases Most Voted","F. Users","A,B,C,E"
"Which object allows you to limit the number of credits consumed within a Snowflake account?","A. Account Usage Tracking","B. Resource Monitor Most Voted","C. Warehouse Limit Parameter","D. Credit Consumption Tracker","","","B"
"Snowflake is designed for which type of workloads? (Choose two.)","A. OLAP (Analytics) workloads Most Voted","B. OLTP (Transactional) workloads","C. Concurrent workloads","D. On-premise workloads","","","A,B"
"What are the three layers that make up Snowflake's architecture? (Choose three.)","A. Compute","B. Tri-Secret Secure","C. Storage","D. Cloud Services","","","A,C,D"
"Why would a customer size a Virtual Warehouse from an X-Small to a Medium?","A. To accommodate more queries","B. To accommodate more users","C. To accommodate fluctuations in workload","D. To accommodate a more complex workload","","","A"
"True or False: Reader Accounts incur no additional Compute costs to the Data Provider since they are simply reading the shared data without making changes.","A. True","B. False","","","","","B"
"Which of the following connectors allow Multi-Factor Authentication (MFA) authorization when connecting? (Choose all that apply.)","A. JDBC","B. SnowSQL","C. Snowflake Web Interface (UI)","D. ODBC","E. Python","","A,D,E"
"True or False: Snowflake charges a premium for storing semi-structured data.","A. True","B. False","","","","","B"
"Which of the following statements describes a benefit of Snowflake's separation of compute and storage? (Choose all that apply.)","A. Growth of storage and compute are tightly coupled together","B. Storage expands without the requirement to add more compute","C. Compute can be scaled up or down without the requirement to add more storage","D. Multiple compute clusters can access stored data without contention","","","B,C,D"
"True or False: It is possible to unload structured data to semi-structured formats such as JSON and Parquet.","A. True","B. False","","","","","A"
"In which layer of its architecture does Snowflake store its metadata statistics?","A. Storage Layer","B. Compute Layer","C. Database Layer","D. Cloud Services Layer","","","D"
"True or False: Data in fail-safe can be deleted by a user or the Snowflake team before it expires.","A. True","B. False","","","","","B"
"True or False: Snowflake's data warehouse was built from the ground up for the cloud in lieu of using an existing database or a platform, like Hadoop, as a base.","A. True","B. False","","","","","B"
"Which of the following statements are true of Virtual Warehouses? (Choose all that apply.)","A. Customers can change the size of the Warehouse after creation","B. A Warehouse can be resized while running","C. A Warehouse can be configured to suspend after a period of inactivity","D. A Warehouse can be configured to auto-resume when new queries are submitted","","","A,B,C,D"
"The PUT command: (Choose two.)","A. Automatically creates a File Format object","B. Automatically uses the last Stage created","C. Automatically compresses files using Gzip","D. Automatically encrypts files","","","C,D"
"Which type of table corresponds to a single Snowflake session?","A. Temporary","B. Transient","C. Provisional","D. Permanent","","","A"
"Which interfaces can be used to create and/or manage Virtual Warehouses?","A. The Snowflake Web Interface (UI)","B. SQL commands","C. Data integration tools","D. All of the above","","","A"
"When a Pipe is recreated using the CREATE OR REPLACE PIPE command:","A. The Pipe load history is reset to empty","B. The REFRESH parameter is set to TRUE","C. Previously loaded files will be ignored","D. All of the above","","","A"
"What is the minimum Snowflake edition that customers planning on storing protected information in Snowflake should consider for regulatory compliance?","A. Standard","B. Premier","C. Enterprise","D. Business Critical Edition","","","D"
"Select the three types of tables that exist within Snowflake. (Choose three.)","A. Temporary","B. Transient","C. Provisional","D. Permanent","","","A,B,D"
"True or False: Snowpipe via REST API can only reference External Stages as source.","A. True","B. False","","","","","B"
"True or False: A third-party tool that supports standard JDBC or ODBC but has no Snowflake-specific driver will be unable to connect to Snowflake.","A. True","B. False","","","","","B"
"True or False: It is possible to load data into Snowflake without creating a named File Format object.","A. True","B. False","","","","","A"
"True or False: A table in Snowflake can only be queried using the Virtual Warehouse that was used to load the data.","A. True","B. False","","","","","B"
"Which of the following statements are true of Snowflake data loading? (Choose three.)","A. VARIANT null values are not the same as SQL NULL values","B. It is recommended to do frequent, single row DMLs","C. It is recommended to validate the data before loading into the Snowflake target table","D. It is recommended to use staging tables to manage MERGE statements","","","A,C,D"
"Which statements are true of micro-partitions? (Choose two.)","A. They are approximately 16MB in size","B. They are stored compressed only if COMPRESS=TRUE on Table","C. They are immutable","D. They are only encrypted in the Enterprise edition and above","","","A,C"
"True or False: Query ID's are unique across all Snowflake deployments and can be used in communication with Snowflake Support to help troubleshoot issues.","A. True","B. False","","","","","A"
"A deterministic query is run at 8am, takes 5 minutes, and the results are cached. Which of the following statements are true? (Choose two.)","A. The exact query will ALWAYS return the precomputed result set for the RESULT_CACHE_ACTIVE = time period","B. The same exact query will return the precomputed results if the underlying data hasn't changed and the results were last accessed within previous 24 hour period","C. The same exact query will return the precomputed results even if the underlying data has changed as long as the results were last accessed within the previous 24 hour period","D. The 24 hour timer on the precomputed results gets renewed every time the exact query is executed","","","B,D"
"Increasing the maximum number of clusters in a Multi-Cluster Warehouse is an example of:","A. Scaling rhythmically","B. Scaling max","C. Scaling out Most Voted","D. Scaling up","","","C"
"Which statement best describes Snowflake tables?","A. Snowflake tables are logical representations of underlying physical data Most Voted","B. Snowflake tables are the physical instantiation of data loaded into Snowflake","C. Snowflake tables require that clustering keys be defined to perform optimally","D. Snowflake tables are owned by a user","","","A"
"Which item in the Data Warehouse migration process does not apply in Snowflake?","A. Migrate Users","B. Migrate Schemas","C. Migrate Indexes Most Voted","D. Build the Data Pipeline","","","C"
"Snowflake provides two mechanisms to reduce data storage costs for short-lived tables. These mechanisms are: (Choose two.)","A. Temporary Tables Most Voted","B. Transient Tables Most Voted","C. Provisional Tables","D. Permanent Tables","","","A,B"
"What is the maximum compressed row size in Snowflake?","A. 8KB","B. 16MB Most Voted","C. 50MB","D. 4000GB","","","B"
"Which of the following are main sections of the top navigation of the Snowflake Web Interface (UI)? (Choose three.)","A. Databases Most Voted","B. Tables","C. Warehouses Most Voted","D. Worksheets Most Voted","","","A,C,D"
"What is the recommended Snowflake data type to store semi-structured data like JSON?","A. VARCHAR","B. RAW","C. LOB","D. VARIANT Most Voted","","","D"
